LATITUDE,LONGITUDE,ALTITUDE
50.5,-122.6,1276.0
50.3,-122.6,193.0
49.5,-123.2,1184.0
50.0,-122.3,1822.0
49.7,-123.2,613.0
50.5,-122.7,1325.0
50.2,-123.4,832.0
50.1,-122.5,992.0
57.2,-125.4,779.0
57.0,-126.8,1250.0
57.4,-125.7,1470.0
55.6,-124.4,1073.0
57.4,-125.6,758.0
55.2,-123.6,948.0
56.2,-124.3,676.0
56.2,-124.2,672.0
55.1,-124.0,1066.0
55.3,-123.1,735.0
56.1,-125.1,1550.0
55.2,-123.4,1285.0
55.3,-124.1,1079.0
55.1,-123.5,1124.0
55.6,-123.9,1175.0
56.2,-124.9,1352.0
55.1,-123.0,756.0
55.2,-123.0,725.0
55.8,-123.1,777.0
55.3,-124.0,1027.0
55.7,-123.9,749.0
55.6,-123.8,772.0
55.0,-123.3,941.0
55.9,-125.1,1056.0
55.7,-124.8,1023.0
55.3,-124.3,1441.0
55.5,-124.7,1250.0
55.1,-128.2,392.0
55.7,-128.3,570.0
55.1,-127.8,291.0
55.4,-127.7,290.0
55.5,-128.3,485.0
55.1,-128.3,1309.0
55.4,-128.3,851.0
55.1,-128.0,331.0
55.6,-127.0,869.0
55.2,-128.0,523.0
55.3,-128.1,381.0
55.3,-128.2,633.0
55.3,-127.8,1143.0
55.0,-128.3,512.0
55.3,-128.0,1374.0
50.1,-122.4,1620.0
49.6,-123.2,499.0
49.5,-123.3,0.0
50.0,-123.2,768.0
50.2,-122.9,1363.0
50.7,-123.7,1885.0
50.6,-123.5,1742.0
50.7,-123.5,1097.0
50.1,-123.3,943.0
50.1,-123.0,690.0
50.4,-122.7,400.0
56.2,-127.9,862.0
55.6,-127.3,729.0
55.7,-127.8,1052.0
55.6,-127.8,738.0
55.2,-128.1,628.0
55.1,-128.1,181.0
54.9,-128.4,239.0
55.4,-127.8,512.0
54.6,-128.6,227.0
54.1,-128.6,45.0
54.4,-128.8,690.0
54.8,-128.7,1397.0
54.4,-129.1,424.0
50.1,-123.1,982.0
50.5,-123.1,1749.0
50.0,-123.3,989.0
49.8,-122.2,610.0
50.0,-124.8,0.0
49.4,-123.5,0.0
49.8,-124.3,280.0
50.2,-125.1,41.0
49.8,-124.1,126.0
50.2,-124.7,1271.0
50.7,-124.7,246.0
54.7,-127.9,1128.0
53.9,-128.7,202.0
53.5,-127.7,983.0
53.7,-127.9,1579.0
54.3,-128.6,208.0
56.4,-128.4,797.0
54.5,-128.6,54.0
54.4,-128.5,189.0
54.5,-128.5,155.0
54.4,-128.6,172.0
54.8,-128.9,308.0
58.1,-131.0,773.0
57.5,-130.3,1141.0
59.7,-128.7,1051.0
